time,signal,trade_dir,trade_end,hp,trade_pnl
2018-12-17 09:31:00,-1.0,1.0,1.0,1.0,1.3964477274042792
2018-12-17 09:32:00,1.0,-1.0,1.0,1.0,-1.8867937351395767
2018-12-17 09:35:00,-1.0,1.0,1.0,3.0,2.0145818783672667
2018-12-17 09:36:00,1.0,-1.0,1.0,1.0,0.6840983374356711
2018-12-17 09:38:00,-1.0,1.0,1.0,2.0,0.559297781234136
2018-12-17 09:39:00,1.0,-1.0,1.0,1.0,0.3477144364846936
2018-12-17 09:40:00,-1.0,1.0,1.0,1.0,-0.8432021640761604
2018-12-17 09:43:00,1.0,-1.0,1.0,3.0,4.775150024716709
2018-12-17 09:47:00,-1.0,1.0,1.0,4.0,2.967245784210945
2018-12-17 09:48:00,1.0,-1.0,1.0,1.0,0.71794108971676
2018-12-17 09:49:00,-1.0,1.0,1.0,1.0,-0.06165295488233369
2018-12-17 09:54:00,1.0,-1.0,1.0,5.0,1.3745697714380185
2018-12-17 09:57:00,-1.0,1.0,1.0,3.0,3.3423126316719163
2018-12-17 10:00:00,1.0,-1.0,1.0,3.0,0.4773819937696544
2018-12-17 10:02:00,-1.0,1.0,1.0,2.0,0.46355400554875814
2018-12-17 10:04:00,1.0,-1.0,1.0,2.0,0.6049135539245754
2018-12-17 10:07:00,-1.0,1.0,1.0,3.0,1.6493517629734242
2018-12-17 10:08:00,1.0,-1.0,1.0,1.0,-0.5956388589547714
2018-12-17 10:15:00,-1.0,1.0,1.0,7.0,4.814419676580087
2018-12-17 10:18:00,1.0,-1.0,1.0,3.0,0.4976782282772092
2018-12-17 10:19:00,-1.0,1.0,1.0,1.0,-0.19027232631390234
2018-12-17 10:25:00,1.0,-1.0,1.0,6.0,0.5141648450966159
2018-12-17 10:28:00,-1.0,1.0,1.0,3.0,0.6419026137774608
2018-12-17 10:29:00,1.0,-1.0,1.0,1.0,0.07534780048240464
2018-12-17 10:30:00,-1.0,1.0,1.0,1.0,-0.7971267579952155
2018-12-17 10:32:00,1.0,-1.0,1.0,2.0,0.5192805025484404
2018-12-17 10:33:00,-1.0,1.0,1.0,1.0,-0.7280167281094236
2018-12-17 10:35:00,1.0,-1.0,1.0,2.0,0.028425314205037466
2018-12-17 10:36:00,-1.0,1.0,1.0,1.0,-0.712261052476606
2018-12-17 10:40:00,1.0,-1.0,1.0,4.0,0.6723090132682046
2018-12-17 10:45:00,-1.0,1.0,1.0,5.0,2.6333461534621847
2018-12-17 10:46:00,1.0,-1.0,1.0,1.0,-0.5830665156317991
2018-12-17 10:48:00,-1.0,1.0,1.0,2.0,-0.7919696541355279
2018-12-17 10:51:00,1.0,-1.0,1.0,3.0,0.20157650191958965
